Class,Date,Web site Label,Topic,Reading,Assignment,Studio,Notes
1W,23-Aug,Introduction: HCI and the Design Process,"Why take this class
Design Process: Needs, Design, Prototype, Evaluate (Iterate)
Introduce teaching team & office hours
Class logistics, qualitative grading
Break
Sketching in class
- dots, lines, squares, circles, 2 point perspective, collab doodle, making something out of 10 circles, people",Rapid Viz,Assign: Berkeley Highlights sketching,"TA leads studio section, presents own design for critique. More drawing exercises, focus on people",bring at least 3 packets (1500 sheets) of paper (TA) and pens (me) to class
2M,28-Aug,Design Process: Empathize and Need Finding,"Images Exercise
HCI Bloopers
Design Process: Needs, Design, Implement, Evaluate (Iterate)
IDEO shopping cart
break
Images recognition exercise
Design Process: Empathize
Needs - Need-finding
Contextual Inquiry
Direct Observation
In class exercise of watching perform a task, interview","Design of Everyday Things
Working through Task-Centered System Design
d.school's empathy field guide","Due: Berkeley Highlight
Assign: Need Finding",,
2W,30-Aug,"Design Process: Define
Design Process: Ideate","Review highlight sketches
Design Process: Define
Identifying bugs, pain points
Personas
Design Process: Ideate
Brainstorming
In-class brainstorming exercise--list of 20 ways to do task, then sketch 10 ways to do it
Affordance
Conceptual Models
Signifiers","Contextual Design (Holtzblatt & Beyer), up through 8.2.4
[Landay] Contextual Design, ",,Due in Studio: Need finding presentation (2 minutes each),
3M,4-Sep,,HOLIDAY, ,,,
3W,6-Sep,"
Programming Tools in Social Media","Introduce project space
Introduce programming tools
Using APIs
Programming exercise
Break

","
",Assign: Initial programming task,Programming tutorial,I'm away Th-Sun
4M,11-Sep,Interaction Design,"Interaction Design
Modes
Metaphors
Buttons, widgets
Input devices
Soft vs. hard buttons
Stylus, touch screen
Speech, natural language
gesture (Kinect)
In-class exercise, work around tables, design using web, phone, speech, gesture
Break
Layout: Visual design--white space
Compare/contrast among blurred NYTimes, Bing, Craigslist","Interface Metaphors
https://webdesign.tutsplus.com/articles/all-about-grid-systems--webdesign-14471",,,
4W,13-Sep,Design Process: Ideating,"Design Process: Design - Ideating
Representing
Scenarios
Storyboarding
Role playing
Break
Social effects, social leveraging, tagging
Crowd source work
Agents, AI
","AboutFaceChap5
AboutFaceChap6","Due: Initial Programming task
Assign: Design a UI in pairs, taking an idea from Bug List","Sketching with hands, screens, interfaces",
5M,18-Sep,Human Models,"Human Models (Eric's slides 16-08)
Human Information Processing
Fitts' Law--in class exercise of Fitts' Law
Fitts' exercise
Break
GOMS
Hick's Law of choice",CardMoranNewell,,,
5W,20-Sep,"Design Process: Prototyping
Design Process: Test","Design Process: Prototyping
Low-fidelity prototyping

Mockups game in-class
Break
Heuristic Evaluation - in class exercise of pairing up with user walking through a favorite app
Describing the studio environment","Contextual Design 8.2.5-8.2.8
https://www.nngroup.com/articles/how-to-conduct-a-heuristic-evaluation/
https://www.nngroup.com/articles/ten-usability-heuristics/
https://www.nngroup.com/articles/how-to-rate-the-severity-of-usability-problems/
[Eric]How to Run a Design Critique
How to Give and Receive Criticism","Due: Design a UI
Assign: Heuristic Evaluation (individual)",TA leads critique in studio section of selected UI designs,Bring paper and PostIts to class for Mockups materials
6M,25-Sep,Visual Design,"Visual Design
Typography
Design Language
Color
Break

Mid-course check-in", ,,,
6W,27-Sep,Project Theme: Bursting Echo Chambers in Social Media,"Introduce Group Project
  Echo Chambers
Working in teams
Break
What to expect on the midterm","[Landay] Working in teams
[Landay] Tips for Working Successfully in a Group",Due: Heuristic Evaluation,Midterm review,
7M,2-Oct,Midterm,Midterm, ,,,
7W,4-Oct,Project: Need Finding and Contextual Inquiry,"Need finding
Contextual Inquiry
Needfinding: Direct Observation + Interviews
(Ethnography)
Break
Likert questions
Surveys
Amazon Mechanical Turk",,"Assign: Form teams of 4 in section, Need finding: observe 2 situations, interview, define need","More Mockups game rounds, mix it up among teams, reflection on what works and what doesn't, Form teams due by end of Studio",Bring paper and PostIts to Studio for Mockups materials
8M,9-Oct,Project: From Observations --> Needs,"Defining Need from Observations
Synthesizing needs from observations",,Due: Form teams,,
8W,11-Oct,Project: Design and Prototyping,"Design concept
Lo-fi prototyping
Paper prototypes
Wizard of Oz
Digital: Sreenshots/Web-based/Flash/PowerPoint
Break
Need finding checkpoint (in Studios, 40-minutes)", ,Assign: Design & lo-fi prototyping,Due: Need finding presentation,
9M,16-Oct,Project: Design and Prototyping checkpoint,"Design & prototyping checkpoint (in Studios)
Possible guest lecture", ,,,
9W,18-Oct,Prototype Demo (grading),"In-class demo of lo-fi prototypes (in Studios, 5 minutes each team) Students see each others' prototypes, even across studios
Dark horse prototype (15 minutes)",Dark Horse ,"Due: Design & Prototype demo
Assign:  Dark horse Prototype","Dark horse coaching on ideas, Mockups games",
10M,23-Oct,Project: Conceptual Use Study,"Conceptual use study
Focusing in on the biggest question
Lo-fi prototypes of concepts
Task analysis
Interviews of user study participants", ,Due: Dark horse prototype description Assign: Conceptual use study,,
10W,25-Oct,Project: Working Prototyping,"Design and working prototype lecture (Tom Chi guest?)
Human abilities",,Assign: Re-design and implement working prototype,Due: Conceptual use study presentation,
11M,30-Oct,Guest lecture (TBD),"Prototyping tools (guest lecture)?
Advanced topics on implementation
Possible guest lecture",,,,
11W,1-Nov,Project: Evaluation,"Evaluation--designing a study
Collecting data
Analyzing data
Visualizing data
Break
Assign Pilot study and Evaluation
Define core task
Metrics to collect
Short interview", ,Assign: Pilot user study evaluation,,
12M,6-Nov,Working Prototype Demo (grading),"In-class demo of working prototypes (5 minutes each team, TA grades Studio, I circulate among Studios, when not presenting to teaching team, running pilot user study, should be able to collect data fromat least 2 pilot studies)
", ,"Due: Working Prototype & user study pilot
Assign: Evaluation",,
12W,8-Nov,Guest lecture (TBD) & group work time,"
Guest lecture mobile, voice or  AI/cognitive services
Break
Group work time", ,,No sections due to holiday,11/10 Holiday
13M,13-Nov,Future Visions of HCI & group work time,"Designing the Future: Visions of HCI
Break
Group work time",,,,
13W,15-Nov,Project: Presenting Your Work,"Presenting Work
Oral presentations/demo
Poster
Presenting as a team (each person should have a role in final presentation)
Critically and constructively reviewing others' work", ,Assign: Final presentations,Due: Evaluation presentation,
14M,20-Nov,"Project: Design Showcase
HCI in Industry Panel","HCI in Industry panel (Tamas, Sabi/Chagla, Fern, Frank Bentley, Aruna, Tara, Henriette Cramer, Alex Leavitt, Roeber)
Where does HCI happen in industry? PM, marketing, centralized, embedded
Living in an engineering-driven world
Getting involved early: definining utility, not just usability
Dealing with pushback: Evidence to convince, ally with dev
Break
Assign Design Showcase
45-second video
Poster Design
Demo routine", ,"Due: Evaluation
Assign: Design Showcase",,
14W,22-Nov,,No instruction, ,,No sections due to holiday,Thanksgiving
15M,27-Nov,Final Presentations (grading),Final Presentations, ,,,
15W,29-Nov,Final Presentations (grading),Final Presentations, ,,Design Showcase coaching,
, ,, , ,,,
16,6-7-Dec,Design Showcase (grading),Design Showcase, ,,,
